anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,171,Rock'n'Roll-Beginners,Hope round,3,6,FW,7.5,14.4,0.5208333333333334,"[-35.0, -50.0, -35.0, -50.0, -35.0, -50.0]"
,171,Rock'n'Roll-Beginners,Hope round,3,6,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, 0.0, -2.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Hope round,3,6,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Hope round,3,276,DF,1.38,2.3,0.6,"[10.0, 6.25, 8.75, 10.0, 7.5, 7.5]"
,171,Rock'n'Roll-Beginners,Hope round,3,276,CO,1.07,2.0,0.535,"[8.0, 6.0, 6.0, 9.0, 7.0, 7.0]"
,171,Rock'n'Roll-Beginners,Hope round,3,276,FM,0.56,2.0,0.28,"[6.5, 5.0, 5.0, 5.0, 5.0, 5.0]"
,171,Rock'n'Roll-Beginners,Hope round,3,276,FW,14.34,14.4,0.9958333333333333,"[-35.0, -75.0, -35.0, -35.0, -50.0, -50.0]"
,171,Rock'n'Roll-Beginners,Hope round,3,276,sm,1.0,2.3,0.4347826086956522,"[-2.0, -2.0, 0.0, -2.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Hope round,3,276,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,171,Rock'n'Roll-Juveniles,Final,1,134,DF,2.47,2.3,1.073913043478261,"[15.0, 10.0, 17.5, 16.25, 13.75, 12.5]"
yes,171,Rock'n'Roll-Juveniles,Final,1,134,CO,2.11,2.0,1.055,"[14.0, 9.0, 12.0, 14.0, 13.0, 9.0]"
,171,Rock'n'Roll-Juveniles,Final,1,134,FM,0.82,2.0,0.41,"[7.5, 6.5, 8.5, 8.5, 6.5, 7.5]"
,171,Rock'n'Roll-Juveniles,Final,1,134,FW,7.45,14.4,0.5173611111111112,"[-15.0, -25.0, -5.0, -15.0, -25.0, -25.0]"
,171,Rock'n'Roll-Juveniles,Final,1,134,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Juveniles,Final,1,134,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Juveniles,Final,2,7,DF,1.38,2.3,0.6,"[10.0, 7.5, 11.25, 11.25, 8.75, 8.75]"
,171,Rock'n'Roll-Juveniles,Final,2,7,CO,1.0,2.0,0.5,"[9.0, 7.0, 9.0, 9.0, 7.0, 7.0]"
,171,Rock'n'Roll-Juveniles,Final,2,7,FM,0.75,2.0,0.375,"[6.5, 5.0, 6.5, 6.5, 5.0, 5.0]"
,171,Rock'n'Roll-Juveniles,Final,2,7,FW,7.31,14.4,0.5076388888888889,"[-35.0, -35.0, -25.0, -35.0, -50.0, -35.0]"
,171,Rock'n'Roll-Juveniles,Final,2,7,sm,1.15,2.3,0.5,"[-2.0, -2.0, -4.0, -2.0, -2.0, 0.0]"
,171,Rock'n'Roll-Juveniles,Final,2,7,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Juveniles,Final,3,193,DF,1.25,2.3,0.5434782608695653,"[12.5, 8.75, 12.5, 11.25, 11.25, 11.25]"
,171,Rock'n'Roll-Juveniles,Final,3,193,CO,1.11,2.0,0.555,"[11.0, 8.0, 11.0, 9.0, 10.0, 9.0]"
,171,Rock'n'Roll-Juveniles,Final,3,193,FM,0.98,2.0,0.49,"[6.5, 5.0, 7.5, 5.0, 5.0, 6.5]"
,171,Rock'n'Roll-Juveniles,Final,3,193,FW,7.45,14.4,0.5173611111111112,"[-25.0, -35.0, -15.0, -35.0, -35.0, -25.0]"
,171,Rock'n'Roll-Juveniles,Final,3,193,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Juveniles,Final,3,193,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Juveniles,Final,4,3,DF,1.33,2.3,0.5782608695652175,"[12.5, 11.25, 12.5, 11.25, 12.5, 8.75]"
,171,Rock'n'Roll-Juveniles,Final,4,3,CO,1.15,2.0,0.575,"[11.0, 8.0, 9.0, 10.0, 8.0, 8.0]"
,171,Rock'n'Roll-Juveniles,Final,4,3,FM,0.9,2.0,0.45,"[7.5, 5.0, 6.5, 6.5, 5.0, 6.5]"
,171,Rock'n'Roll-Juveniles,Final,4,3,FW,10.96,14.4,0.7611111111111112,"[-25.0, -50.0, -25.0, -25.0, -35.0, -15.0]"
,171,Rock'n'Roll-Juveniles,Final,4,3,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, -2.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Juveniles,Final,4,3,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Juveniles,Final,5,57,DF,1.38,2.3,0.6,"[11.25, 8.75, 12.5, 11.25, 8.75, 10.0]"
,171,Rock'n'Roll-Juveniles,Final,5,57,CO,1.7,2.0,0.85,"[10.0, 7.0, 10.0, 10.0, 6.0, 7.0]"
,171,Rock'n'Roll-Juveniles,Final,5,57,FM,0.84,2.0,0.42,"[7.5, 6.5, 7.5, 6.5, 5.0, 6.5]"
,171,Rock'n'Roll-Juveniles,Final,5,57,FW,7.31,14.4,0.5076388888888889,"[-35.0, -35.0, -25.0, -35.0, -50.0, -35.0]"
,171,Rock'n'Roll-Juveniles,Final,5,57,sm,1.49,2.3,0.6478260869565218,"[0.0, -4.0, 0.0, 0.0, -2.0, -2.0]"
,171,Rock'n'Roll-Juveniles,Final,5,57,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Juveniles,Final,6,27,DF,1.25,2.3,0.5434782608695653,"[12.5, 12.5, 11.25, 15.0, 11.25, 12.5]"
,171,Rock'n'Roll-Juveniles,Final,6,27,CO,0.82,2.0,0.41,"[11.0, 9.0, 9.0, 11.0, 10.0, 10.0]"
,171,Rock'n'Roll-Juveniles,Final,6,27,FM,0.69,2.0,0.345,"[7.5, 7.5, 6.5, 8.5, 6.5, 7.5]"
,171,Rock'n'Roll-Juveniles,Final,6,27,FW,10.96,14.4,0.7611111111111112,"[-25.0, -35.0, -25.0, -15.0, -50.0, -25.0]"
,171,Rock'n'Roll-Juveniles,Final,6,27,sm,1.53,2.3,0.6652173913043479,"[0.0, 0.0, -4.0, 0.0, -2.0, 0.0]"
,171,Rock'n'Roll-Juveniles,Final,6,27,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Juniors,Final,1,155,DF,0.69,2.3,0.3,"[8.0, 6.0, 8.0, 7.0, 7.0, 7.0]"
,171,Rock'n'Roll-Juniors,Final,1,155,CO,0.69,2.0,0.345,"[8.0, 7.0, 7.0, 8.0, 7.0, 6.0]"
,171,Rock'n'Roll-Juniors,Final,1,155,FM,1.46,2.0,0.73,"[6.5, 2.5, 5.0, 5.0, 2.5, 5.0]"
,171,Rock'n'Roll-Juniors,Final,1,155,FW,7.07,14.4,0.49097222222222225,"[-35.0, -35.0, -35.0, -50.0, -50.0, -35.0]"
,171,Rock'n'Roll-Juniors,Final,1,155,sm,1.0,2.3,0.4347826086956522,"[0.0, -2.0, 0.0, 0.0, -2.0, -2.0]"
,171,Rock'n'Roll-Juniors,Final,1,155,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Juniors,Final,2,62,DF,1.46,2.3,0.6347826086956522,"[9.0, 5.0, 9.0, 7.0, 7.0, 6.0]"
,171,Rock'n'Roll-Juniors,Final,2,62,CO,1.53,2.0,0.765,"[9.0, 7.0, 7.0, 8.0, 4.0, 7.0]"
,171,Rock'n'Roll-Juniors,Final,2,62,FM,1.61,2.0,0.805,"[7.5, 5.0, 6.5, 5.0, 6.5, 2.5]"
,171,Rock'n'Roll-Juniors,Final,2,62,FW,7.07,14.4,0.49097222222222225,"[-35.0, -35.0, -35.0, -35.0, -50.0, -50.0]"
,171,Rock'n'Roll-Juniors,Final,2,62,sm,1.8,2.3,0.782608695652174,"[0.0, -4.0, -2.0, 0.0, -4.0, 0.0]"
,171,Rock'n'Roll-Juniors,Final,2,62,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Juniors,Final,3,149,DF,0.76,2.3,0.3304347826086957,"[11.0, 9.0, 9.0, 10.0, 9.0, 9.0]"
