anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,164,Rock'n'Roll-Juveniles,Final,2,193,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Juveniles,Final,3,57,DF,1.44,2.3,0.6260869565217392,"[11.25, 8.75, 11.25, 10.0, 11.25, 7.5]"
,164,Rock'n'Roll-Juveniles,Final,3,57,CO,1.37,2.0,0.685,"[7.0, 8.0, 10.0, 10.0, 10.0, 7.0]"
,164,Rock'n'Roll-Juveniles,Final,3,57,FM,0.98,2.0,0.49,"[7.5, 5.0, 5.0, 6.5, 6.5, 5.0]"
,164,Rock'n'Roll-Juveniles,Final,3,57,FW,3.73,14.4,0.25902777777777775,"[-25.0, -35.0, -35.0, -35.0, -35.0, -35.0]"
,164,Rock'n'Roll-Juveniles,Final,3,57,sm,0.75,2.3,0.32608695652173914,"[-2.0, -2.0, -2.0, 0.0, -2.0, -2.0]"
,164,Rock'n'Roll-Juveniles,Final,3,57,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Juveniles,Final,4,27,DF,1.57,2.3,0.682608695652174,"[11.25, 12.5, 15.0, 11.25, 15.0, 13.75]"
,164,Rock'n'Roll-Juveniles,Final,4,27,CO,1.63,2.0,0.815,"[8.0, 11.0, 12.0, 12.0, 13.0, 10.0]"
,164,Rock'n'Roll-Juveniles,Final,4,27,FM,0.9,2.0,0.45,"[6.5, 6.5, 6.5, 7.5, 7.5, 9.0]"
,164,Rock'n'Roll-Juveniles,Final,4,27,FW,9.32,14.4,0.6472222222222223,"[-35.0, -35.0, -25.0, -35.0, -35.0, -10.0]"
,164,Rock'n'Roll-Juveniles,Final,4,27,sm,1.37,2.3,0.5956521739130436,"[-2.0, -4.0, -2.0, -2.0, 0.0, 0.0]"
,164,Rock'n'Roll-Juveniles,Final,4,27,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Juveniles,Final,5,182,DF,1.86,2.3,0.8086956521739131,"[12.5, 15.0, 15.0, 12.5, 17.5, 12.5]"
,164,Rock'n'Roll-Juveniles,Final,5,182,CO,1.46,2.0,0.73,"[8.0, 12.0, 11.0, 12.0, 12.0, 10.0]"
,164,Rock'n'Roll-Juveniles,Final,5,182,FM,1.02,2.0,0.51,"[6.5, 6.5, 8.5, 6.5, 7.5, 9.0]"
,164,Rock'n'Roll-Juveniles,Final,5,182,FW,5.59,14.4,0.3881944444444444,"[-25.0, -25.0, -25.0, -25.0, -25.0, -10.0]"
,164,Rock'n'Roll-Juveniles,Final,5,182,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Juveniles,Final,5,182,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Juniors,Final,1,149,DF,1.15,2.3,0.5,"[9.0, 8.0, 11.0, 10.0, 11.0, 11.0]"
